query_id,A_map@k,B_map@k,D_map@k,A_ndcg@k,B_ndcg@k,D_ndcg@k,A_precision@k,B_precision@k,D_precision@k,A_recall@k,B_recall@k,D_recall@k
q_haut4135->bas,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.166667,0.166667,0.000000,1.000000,1.000000,0.000000
q_haut41372->sac,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.250000,0.250000,0.000000,1.000000,1.000000,0.000000
q_haut4139->bas,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.166667,0.166667,0.000000,1.000000,1.000000,0.000000
q_haut4141->bas,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.166667,0.166667,0.000000,1.000000,1.000000,0.000000
q_haut4143->bas,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.166667,0.166667,0.000000,1.000000,1.000000,0.000000
q_haut41452->bas,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.166667,0.166667,0.000000,1.000000,1.000000,0.000000
q_haut4147->bas,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.166667,0.166667,0.000000,1.000000,1.000000,0.000000
q_haut56->chaussure,0.333333,0.333333,0.000000,0.500000,0.500000,0.000000,0.166667,0.166667,0.000000,1.000000,1.000000,0.000000
q_haut56->sac,0.166667,0.166667,0.000000,0.356207,0.356207,0.000000,0.166667,0.166667,0.000000,1.000000,1.000000,0.000000
q_haut61->bas,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.166667,0.166667,0.000000,1.000000,1.000000,0.000000
q_haut63->bas,0.250000,0.250000,0.000000,0.430677,0.430677,0.000000,0.166667,0.166667,0.000000,1.000000,1.000000,0.000000
q_haut65->bas,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.166667,0.166667,0.000000,1.000000,1.000000,0.000000
q_haut69->bas,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.166667,0.166667,0.000000,1.000000,1.000000,0.000000
q_haut72->bas,1.000000,0.500000,-0.500000,1.000000,0.630930,-0.369070,0.166667,0.166667,0.000000,1.000000,1.000000,0.000000
q_haut89992->bas,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.166667,0.166667,0.000000,1.000000,1.000000,0.000000
q_robe4031->sac,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.250000,0.250000,0.000000,1.000000,1.000000,0.000000
q_robe4041->chaussure,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.166667,0.166667,0.000000,1.000000,1.000000,0.000000
q_robe4083->chaussure,0.500000,0.500000,0.000000,0.630930,0.630930,0.000000,0.166667,0.166667,0.000000,1.000000,1.000000,0.000000
q_robe4089->chaussure,0.333333,0.500000,0.166667,0.500000,0.630930,0.130930,0.166667,0.166667,0.000000,1.000000,1.000000,0.000000
q_robe4097->sac,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.250000,0.250000,0.000000,1.000000,1.000000,0.000000
q_robe4122->chaussure,0.333333,0.333333,0.000000,0.500000,0.500000,0.000000,0.166667,0.166667,0.000000,1.000000,1.000000,0.000000
q_robe4131->chaussure,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.166667,0.166667,0.000000,1.000000,1.000000,0.000000
q_sac4071->pantalon,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.166667,0.166667,0.000000,1.000000,1.000000,0.000000
q_sac58->pantalon,0.333333,0.333333,0.000000,0.500000,0.500000,0.000000,0.166667,0.166667,0.000000,1.000000,1.000000,0.000000
